Region,Registered,ACC,Ratio of ACC/Registered,,1006_classified as menacing,1007_classified as dangerous,1016_total paid (excl. GST) for injuries this yr,lat,lng,menacing dogs/registered dogs,total menacing,menacing/total menacing,total acc,acc/total acc
Ashburton District,6524,78,1.2,,36,4,26507,-43.6983477,171.4278984,0.55,16118,0.22,12516,0.62
Auckland (Group),98689,3838,3.89,,2065,47,1351453,-36.8567161,174.7669066,2.09,16118,12.81,12516,30.66
Buller District,2350,42,1.79,,38,7,4746,-42.0330351,171.9534815,1.62,16118,0.24,12516,0.34
Carterton District,2598,20,0.77,,16,2,2270,-41.1585232,175.643487,0.62,16118,0.10,12516,0.16
Central Hawke's Bay District,5109,45,0.88,,24,0,9699,-40.0106163,176.4996546,0.47,16118,0.15,12516,0.36
Central Otago District,5782,81,1.4,,0,2,20315,-45.2828265,169.6567993,0,16118,0.00,12516,0.65
Christchurch City,30504,1151,3.77,,346,52,423791,-43.5320544,172.6362254,1.13,16118,2.15,12516,9.20
Clutha District,6451,47,0.73,,27,0,9495,-46.1227873,169.6378412,0.42,16118,0.17,12516,0.38
Dunedin City,16688,302,1.81,,206,4,112479,-45.8787605,170.5027976,1.23,16118,1.28,12516,2.41
Far North District,8440,356,4.22,,76,1,127378,-35.1290228,173.5070203,0.9,16118,0.47,12516,2.84
Gisborne District,10403,176,1.69,,189,10,54592,-38.1309688,178.0118473,1.82,16118,1.17,12516,1.41
Hamilton City,9944,472,4.75,,271,8,109430,-37.774985,175.1948843,2.73,16118,1.68,12516,3.77
Hastings District,11602,252,2.17,,245,2,77179,-39.3718812,176.0750211,2.11,16118,1.52,12516,2.01
Hauraki District,4342,50,1.15,,118,13,10745,-37.345463,175.643487,2.72,16118,0.73,12516,0.40
Horowhenua District,5986,100,1.67,,195,17,53150,-40.5804655,175.3136218,3.26,16118,1.21,12516,0.80
Hurunui District,5430,61,1.12,,15,4,13568,-42.7891728,172.7347142,0.28,16118,0.09,12516,0.49
Hutt City,9114,205,2.25,,162,37,67155,-41.2114473,174.9002665,1.78,16118,1.01,12516,1.64
Invercargill City,8412,118,1.4,,146,2,34856,-46.4131866,168.3537731,1.74,16118,0.91,12516,0.94
Kaipara District,4852,91,1.88,,24,0,27169,-36.027261,174.0167423,0.49,16118,0.15,12516,0.73
Kapiti Coast District,7038,134,1.9,,88,2,37574,-40.8233475,175.3136218,1.25,16118,0.55,12516,1.07
Mackenzie District,1709,27,1.58,,1,1,3743,-44.1357938,170.2767327,0.06,16118,0.01,12516,0.22
